"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"CCDC83","0.0000287","0.00553","0.0226","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p",""
"DECR1","0.0000287","0.00553","0.0226","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p",""
"DGCR6L","0.0000287","0.00553","0.0226","3","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"IRAK1","0.0000153","0.00553","0.0185","3","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-423-3p",""
"MRPL10","0.0000248","0.00553","0.0215","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"PA2G4","0.0000213","0.00553","0.0205","3","hsa-miR-146a-5p","hsa-miR-24-3p","hsa-miR-423-3p",""
"S100A12","0.00000829","0.00553","0.00308","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"TLL1","0.0000248","0.00553","0.0215","3","hsa-miR-503-5p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"ZNF260","0.00000477","0.00553","0.0339","4","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-425-3p","hsa-miR-24-3p"
"COPA","0.0000827","0.0143","0.0318","3","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"LSM4","0.0000911","0.0144","0.0328","3","hsa-miR-423-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"PPP1R11","0.000109","0.0158","0.0739","4","hsa-miR-3184-5p","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p"
"FAF1","0.000124","0.0165","0.00923","2","hsa-miR-146a-5p","hsa-miR-24-3p","",""
"CCDC32","0.000173","0.0194","0.0108","2","hsa-miR-24-3p","hsa-miR-423-3p","",""
"FANCF","0.000179","0.0194","0.0410","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-24-3p",""
"HORMAD2","0.000173","0.0194","0.0108","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"CD300LB","0.000230","0.0210","0.0123","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"DHFR","0.000230","0.0210","0.0123","2","hsa-miR-24-3p","hsa-miR-503-5p","",""
"MKRN2","0.000230","0.0210","0.0123","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"MFSD6","0.000256","0.0222","0.0462","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-3074-5p",""
"ERBB4","0.000295","0.0244","0.0139","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"USP48","0.000351","0.0276","0.0513","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p",""
"PACS2","0.000394","0.0297","0.0534","3","hsa-miR-24-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""
"IL1RAP","0.000450","0.0325","0.0169","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"ACTBL2","0.000539","0.0359","0.0185","2","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"IL1RL2","0.000539","0.0359","0.0185","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"GCN1","0.000636","0.0394","0.0200","2","hsa-miR-425-3p","hsa-miR-423-3p","",""
"MTA2","0.000636","0.0394","0.0200","2","hsa-miR-146a-5p","hsa-miR-423-3p","",""
"UHRF1","0.000741","0.0443","0.0215","2","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"LBR","0.000836","0.0483","0.0687","3","hsa-miR-24-3p","hsa-miR-146b-5p","hsa-miR-146a-5p",""